time,[0],[1],[2],[3],[4],[5],[6],[7]
94,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
95,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
96,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
97,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
98,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
99,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
100,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
101,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
102,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
103,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
104,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
105,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
106,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
107,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
108,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
109,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
110,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
111,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
112,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
113,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
114,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
115,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
116,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
117,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
118,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
119,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
120,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
121,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
122,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
123,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
124,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
125,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
126,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
127,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
128,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
129,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
130,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
131,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
132,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
133,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
134,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
135,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
136,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
137,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
138,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
139,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
140,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
141,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
142,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
143,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
144,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
145,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
146,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
147,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
148,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
149,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
150,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
151,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
152,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
153,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
154,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
155,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
156,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
157,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
158,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
159,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
160,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
161,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
162,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
163,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
164,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
165,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
166,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
167,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
168,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
169,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
170,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
171,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
172,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
173,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
174,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
175,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
176,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
177,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
178,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
179,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
180,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
